epoch,phase,accuracy,loss
135,Training,0.5826800000000001,0.009295403151512146
136,Training,0.5828800000000001,0.009333274781703949
137,Training,0.5818000000000001,0.009369620559215546
138,Training,0.58264,0.00927668771982193
139,Training,0.5851000000000001,0.0092985155916214
140,Training,0.5824400000000001,0.009340475882291794
141,Training,0.5872400000000001,0.009247862740755081
142,Training,0.58614,0.009253050136566162
143,Training,0.5872,0.009242731860876083
144,Training,0.58398,0.009303571808338166
145,Training,0.58638,0.009262494076490402
146,Training,0.5866800000000001,0.009267717312574386
147,Training,0.5869800000000001,0.009237762405872344
148,Training,0.58538,0.009228465677499771
149,Training,0.5894,0.00922126389503479
150,Training,0.5850200000000001,0.009307560820579529
151,Training,0.58606,0.0092462759745121
152,Training,0.5885,0.009198953639268875
153,Training,0.58908,0.009178615140914916
154,Training,0.58992,0.009200756837129592
